# Custom: see config file for specs; E/Cts Range = 2.0 - 7.0 keV
# See config for Nh-fro/free, Fe-fro/free, Confidence Levels = 2.71; Sys err = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr   Src% redstat    dof
ABELL_4038                  4992   0.13   8.00  1.57  0.00  0.00  3.29  3.18  3.40  0.36  0.30  0.43   2.95e-02   2.87e-02   3.04e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0300  0.917   81.2   1.10    335
AC_114                      1562   0.02   1.54  1.44  0.00  0.00  9.76  8.21 12.04  0.39  0.26  0.54   1.87e-03   1.77e-03   1.98e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3120  0.068   63.0   0.95    173
CL_0024+17                   929   0.01   1.10  4.36  0.00  0.00  7.14  4.31 12.56  0.30  0.00  0.86   4.12e-04   3.49e-04   5.02e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3940  0.021   28.5  39.66     41
CL_1221+4918                1662   0.01   1.00  1.44  0.00  0.00  7.60  5.59 11.93  0.31  0.10  0.71   4.66e-04   3.68e-04   5.84e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.7000  0.009   73.2   0.69     30
CL_J0030+2618               5762   0.01   1.45  4.10  0.00  0.00  3.77  1.81 13.50  0.00  0.00  0.52   7.06e-04   0.00e+00   1.99e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5000  0.008   51.5   0.85      6
CL_J0152-1357                913   0.01   0.58  1.45  0.00  0.00  6.07  3.56 12.23  0.00  0.00  0.72   1.55e-04   1.24e-04   2.05e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.8310  0.005   49.3  29.32      9
CL_J0542.8-4100              914   0.01   1.00  3.59  0.00  0.00  5.93  4.17  9.45  0.23  0.00  0.49   5.04e-04   3.87e-04   6.66e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.6300  0.009   72.7   0.58     21
CL_J0848+4456                1708+927   0.01   0.55  2.53  0.00  0.00  4.96  3.15  7.78  0.00  0.00  0.79   5.44e-05   4.22e-05   7.18e-05  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5740  0.002   64.9   0.82     14
CL_J1113.1-2615              915   0.01   0.98  5.51  0.00  0.00  4.79  3.53  5.94  0.52  0.11  1.15   1.79e-04   1.56e-04   2.16e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.7300  0.007   32.2  39.33     39
CL_J1213+0253               4934   0.01   0.79  1.78  0.00  0.00  4.56  1.71 79.90  0.04  0.00  5.19   2.37e-04   0.00e+00   4.83e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4090  0.004   64.6   0.41      1
