# Custom: see config file for specs; E/Cts Range = 0.7 - 7.0 keV
# See config for Nh-fro/free, Fe-fro/free, Confidence Levels = 2.71; Sys err = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr   Src% redstat    dof
ABELL_2537                  4962   0.00   1.49  4.26  0.00  0.00  8.44  7.82  9.16  0.45  0.32  0.58   2.77e-03   2.69e-03   2.84e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2950  0.349   62.5   0.98    221
ABELL_2550                  2225   0.00   1.60  2.03  0.00  0.00  2.03  1.96  2.11  0.47  0.40  0.56   1.39e-03   1.32e-03   1.47e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1543  0.205   57.0   1.38    160
ABELL_2554                  1696   0.00   3.36  2.04  0.00  0.00  5.36  5.00  5.79  0.36  0.23  0.49   3.93e-03   3.79e-03   4.07e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1103  0.640   42.8   0.99    230
ABELL_2556                  2226   0.00   3.35  2.02  0.00  0.00  3.34  3.23  3.45  0.43  0.37  0.49   9.47e-03   9.23e-03   9.70e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0862  1.540   66.5   1.02    279
ABELL_2631                  3248   0.00   1.83  3.74  0.00  0.00  7.23  6.34  8.42  0.30  0.12  0.49   3.85e-03   3.67e-03   4.04e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2779  0.356   89.4   0.97    105
ABELL_2667                  2214   0.00   1.82  1.64  0.00  0.00  5.91  5.60  6.24  0.44  0.34  0.54   1.06e-02   1.03e-02   1.09e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2300  1.560   87.5   1.03    207
ABELL_2670                  4959   0.00   3.68  2.88  0.00  0.00  3.95  3.84  4.07  0.48  0.41  0.54   7.07e-03   6.92e-03   7.25e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0763  0.864   82.3   1.20    333
ABELL_2717                  6974   0.00   3.87  1.12  0.00  0.00  2.53  2.42  2.64  0.69  0.58  0.81   4.73e-03   4.48e-03   4.98e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0475  0.645   74.6   0.88    221
ABELL_2744                  2212   0.00   1.82  1.82  0.00  0.00  9.84  9.07 10.73  0.29  0.18  0.41   5.08e-03   4.96e-03   5.20e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3080  0.642   74.7   0.90    232
ABELL_3128                   893   0.00   4.41  1.59  0.00  0.00  3.03  2.85  3.23  0.39  0.29  0.50   3.98e-03   3.78e-03   4.19e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0624  0.495   67.5   1.12    209
ABELL_3158                  3201   0.00   5.57  1.60  0.00  0.00  5.15  5.08  5.23  0.41  0.38  0.44   2.47e-02   2.45e-02   2.49e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0586  3.118   90.3   1.18    820
ABELL_3158                  3712   0.00   5.57  1.60  0.00  0.00  5.15  5.08  5.23  0.41  0.38  0.44   2.47e-02   2.45e-02   2.49e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0586  3.118   90.3   1.18    820
ABELL_3164                  6955   0.00   4.81  2.55  0.00  0.00  2.43  1.97  3.06  0.21  0.03  0.50   1.33e-03   1.11e-03   1.56e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0570  0.146   31.1   1.38     94
