#Model: mekal; Energy band: 0.4 keV --> 1.0 keV; Fe-frozen? yes; Tx-frozen? no
#Confidence Level: 1.0; Systematic error: 0.00; Cosmo: 70, 0.3, 0.7
#Name                      ObsID     Tx    Tlo    Thi     Fe   Felo   Fehi       norm     normlo     normhi    Tx2   Tlo2   Thi2      norm2    normlo2    normhi2       area        ctr  chisq    dof
ABELL_3571                  4203   0.66   0.64   0.68   1.00   1.00   1.00   5.15e-05   4.94e-05   5.38e-05   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00  8.081e+05   3.49e-02   3.96     16
ABELL_3667                  5751   0.35   0.00   0.00   1.00   1.00   1.00   3.83e-04   0.00e+00   0.00e+00   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00  8.350e+05   8.08e-02  25.11     38
ABELL_4038                  4992   0.67   0.63   0.72   1.00   1.00   1.00   5.07e-05   4.69e-05   5.46e-05   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00  9.263e+05   1.47e-02   1.78     16
AC_114                      1562   0.08   0.08   0.13   1.00   1.00   1.00  -4.17e-05  -6.38e-05  -4.46e-06   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00  9.315e+05  -1.36e-03   1.06     26
AWM7                         908   0.34   0.34   0.36   1.00   1.00   1.00   2.58e-04   2.49e-04   2.67e-04   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00  8.446e+05   7.09e-02   9.52     38
CENTAURUS                   4954   0.77   0.76   0.78   1.00   1.00   1.00   1.39e-04   1.36e-04   1.42e-04   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00  9.006e+05   7.70e-02   4.30     38
CL_0024+17                   929  28.14   3.13  79.90   1.00   1.00   1.00   6.93e-05   3.89e-05   1.10e-04   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00  8.136e+05   5.96e-03   1.50     13
CL_1221+4918                1662   0.08   0.08   0.16   1.00   1.00   1.00  -3.79e-04  -5.26e-04  -2.29e-05   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00  9.449e+05  -1.41e-03   0.92     17
CL_J0152-1357                913   0.83   0.49   1.15   1.00   1.00   1.00   3.83e-06   1.46e-06   8.15e-06   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00  8.560e+05   5.02e-04   0.93     11
CL_J0542.8-4100              914   1.77   1.39   3.03   1.00   1.00   1.00   6.46e-05   3.77e-05   8.99e-05   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00  8.755e+05   3.24e-03   1.28     18
CL_J0848+4456               1708   0.27   0.24   0.30   1.00   1.00   1.00   2.23e-05   1.81e-05   2.69e-05   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00  8.559e+05   5.08e-03   0.75     15
CL_J0848+4456                927   0.17   0.17   0.18   1.00   1.00   1.00  -8.37e-05  -9.23e-05  -7.57e-05   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00  8.440e+05  -8.89e-03   3.96     18
CL_J1113.1-2615              915   0.18   0.17   0.19   1.00   1.00   1.00   9.23e-05   8.01e-05   1.06e-04   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00  7.932e+05   1.16e-02   2.63     37
CL_J1213+0253               4934   0.08   0.08   0.13   1.00   1.00   1.00  -1.21e-03  -1.68e-03  -1.06e-04   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00  9.044e+05  -1.89e-03   0.42      3
CL_J1226.9+3332             3180   0.28   0.24   0.36   1.00   1.00   1.00   2.28e-05   1.55e-05   3.11e-05   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00  8.419e+05   3.91e-03   0.42      6
CL_J1226.9+3332             5014   0.19   0.16   0.24   1.00   1.00   1.00  -3.37e-05  -6.03e-05  -1.77e-05   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00  9.137e+05  -3.14e-03   1.01      7
CL_J1641+4001               3575   0.23   0.16   0.54   1.00   1.00   1.00  -1.00e-05  -2.63e-05  -2.70e-06   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00  8.262e+05  -1.34e-03   0.84      8
