#Name                              Obsid       z         SB0         S01         +/-         rc1         +/-       beta1         +/-         S02         +/-         rc2         +/-       beta2         +/-     chisq  dof        prob
MACS_J1115.2+5320         3253_5008_5350  0.4390    1.66E-05    3.23E-05   -0.00E+00       0.000      -0.000       0.809      -0.000    1.84E-05    9.04E-07     175.085      10.589       0.583       0.015     56.05   31    3.83E-03
MACS_J1149.5+2223              3589_1656  0.5440    1.46E-05    7.56E-06    2.05E-06     105.842      73.196       0.448       0.099    9.68E-06    2.34E-06     474.843      29.380       1.000       0.000     25.04   27    5.72E-01
MACS_J1206.2-0847                   3277  0.4400    1.66E-04    1.30E-04    7.12E-05      46.938      38.583       0.596       0.752    3.97E-05    6.55E-05     190.125     128.055       0.675       0.278     43.46   31    6.79E-02
MACS_J1311.0-0310              3258_6110  0.4940    1.12E-04    1.07E-04    4.63E-06      84.970       4.435       1.000       0.000    1.36E-05    4.59E-06     187.514      34.260       0.778       0.046     43.47   29    4.12E-02
MACS_J1621.3+3810    6109_6172_3254_3594  0.4610    1.87E-04    2.10E-04    8.50E-05      30.203      31.372       0.741       0.926    3.69E-05    4.89E-05      97.236      37.010       0.592       0.015     65.10   30    2.13E-04
MACS_J2049.9-3217                   3283  0.3254    3.48E-05    4.26E-05   -0.00E+00       0.000      -0.000       0.613      -0.000    3.18E-05    1.41E-06     148.595       6.990       0.665       0.014     65.33   39    5.18E-03
MACS_J2211.7-0349                   3284  0.2700    1.42E-04    1.59E-04    4.83E-06      90.512       2.495       0.666       0.007    1.43E-04    0.00E+00       0.000       0.000       0.554       0.000     64.31   45    3.08E-02
MACS_J2214.9-1359              3259_5011  0.5026    5.03E-05    4.16E-05    4.37E-06      63.097      14.580       0.480       0.028    1.22E-05    3.56E-06     292.209      19.524       1.000       0.000     49.36   28    7.61E-03
MACS_J2243.3-0935                   3260  0.1010    1.83E-05    1.54E-05    6.15E-07     120.803       6.029       0.766       0.023    6.49E-06    4.92E-05       7.214      39.559       1.000       0.000    225.17   65    0.00E+00
MKW3S                                900  0.0450    2.16E-04    2.01E-05    8.49E-06     137.798      28.094       0.812       0.129    1.67E-04    1.05E-05      30.095       3.658       0.636       0.106    497.56   84    0.00E+00
MKW_04                              3234  0.0198    5.51E-04    1.45E-04    5.47E-04       0.404       2.972       0.301       0.076    5.20E-04    1.39E-04       3.229       0.587       0.470       0.041     75.40   41    8.48E-04
MS_0016.9+1609                       520  0.5410    3.87E-05    9.59E-05   -0.00E+00       0.000      -0.000       0.881      -0.000    3.05E-05    7.62E-07     237.983       7.806       0.709       0.013     56.24   27    8.02E-04
MS_0735.6+7421                      4197  0.2160    5.94E-04    5.01E-05    1.25E-06     272.663      10.619       0.992       0.033    6.15E-04    1.40E-05      40.226       0.613       1.000       0.000    122.31   29    1.99E-13
MS_0839.8+2938                      2224  0.1940    4.69E-04    1.10E-04    3.19E-05      77.088      14.976       0.748       0.091    4.54E-04    3.04E-05      14.562       2.426       0.477       0.011     45.72   32    5.50E-02
