#Cluster                                          Obsid   Tmode    Rmin    Rmax   Ann             t0         t0_err           t100       t100_err      Power-law       Plaw_err          Chisq           Prob
ABELL_S0405                                        8272    flat    0.00    0.20    34        0.73347        0.82160       21.86918        1.29587        0.64846        0.08253        0.37583    9.97192E-01
ABELL_S0592                                        9420    flat    0.00    0.40    23        1.13198        0.33944        9.39748        0.76442        1.15094        0.10466        0.73164    6.21909E-01
AC_114                                             1562    flat    0.00    0.45    20        6.51385        1.18971        4.86058        1.52912        1.59651        0.26611        0.25509    9.93077E-01
AWM7                                                908    flat    0.00    0.02    13        0.11689        0.02589       13.21225        1.30934        0.94848        0.04890        1.25931    8.26643E-02
CYGNUS_A                                            360    flat    0.00    0.10    19        0.45687        0.01812        9.68252        0.37125        1.90540        0.05205        4.46912    0.00000E+00
EXO_0422-086                                       4183    flat    0.00    0.07    19        0.30162        0.01821       11.99946        0.80362        1.47094        0.05604        0.65217    6.58057E-01
ESO_5520200                                        3206    flat    0.00    0.10    34        0.17613        0.08756       19.97431        1.30682        0.94298        0.05207        0.00948    1.00000E+00
HCG_0062                                            921    flat    0.00    0.04    27        0.09036        0.00227       22.68839        1.35728        1.46967        0.02543        5.17950    0.00000E+00
HCG_42                                             3215    flat    0.00    0.03    22        0.03751        0.00979       13.79273        1.68279        1.11697        0.05314        2.30551    2.11179E-04
MACS_J0035.4-2015                                  3262    flat    0.00    0.70    29        3.14605        0.44625        2.82563        0.68092        1.71786        0.17417        0.03887    1.00000E+00
MACS_J0242.5-2132                                  3266    flat    0.00    0.50    22        0.22053        0.03193        3.16720        0.17976        1.74434        0.07706        0.70754    6.40119E-01
MACS_J0257.6-2209                                  3267    flat    0.00    0.40    17        4.97445        0.76451        4.16486        1.19841        1.92886        0.28000        0.10599    9.99639E-01
MACS_J0308.9+2645                                  3268    flat    0.00    0.70    30        4.70376        1.18496        2.93269        1.07153        1.79572        0.24612        0.04940    1.00000E+00
MACS_J0417.5-1154                                  3270    flat    0.00    0.30    11        0.48443        0.16578        4.17477        0.53877        1.55711        0.19439        0.16963    9.28951E-01
MACS_J0429.6-0253                                  3271    flat    0.00    0.40    15        0.33343        0.07991        3.93253        0.30262        1.58300        0.09902        0.27077    9.53590E-01
MACS_J0520.7-1328                                  3272    flat    0.00    0.50    21        2.32431        0.55390        3.68557        0.85059        1.62133        0.20022        0.05614    1.00000E+00
MACS_J0547.0-3904                                  3273    flat    0.00    0.40    24        0.92035        0.16452       11.10426        0.85090        1.56983        0.10057        0.53410    8.84963E-01
MACS_J1115.8+0129                                  3275    flat    0.00    0.20    20        0.58626        0.11737       15.11052        1.12606        1.60279        0.10790        0.34944    9.67968E-01
MACS_J1131.8-1955                                  3276    flat    0.00    0.50    23        2.66264        0.71312        8.56683        1.38847        1.25747        0.15717        0.06003    1.00000E+00
MACS_J1206.2-0847                                  3277    flat    0.00    0.80    30        1.38573        0.20145        3.57498        0.42371        1.57227        0.10116        0.12229    1.00000E+00
MACS_J1931.8-2634                                  3282    flat    0.00    0.40    16        0.27145        0.05949        3.25219        0.27764        1.60863        0.10043        0.35629    9.14384E-01
MACS_J2049.9-3217                                  3283    flat    0.00    0.50    21        5.68233        1.70815        3.98309        1.80867        1.53149        0.33442        0.06998    9.99999E-01
MACS_J2211.7-0349                                  3284    flat    0.00    0.60    29        3.50745        0.56245        2.77798        0.65880        2.09682        0.19412        0.03707    1.00000E+00
MACS_J2228+2036                                    3285    flat    0.00    0.60    22        3.26474        1.05560        4.63243        1.39435        1.33044        0.21571        0.04614    1.00000E+00
MACS_J2229.7-2755                                  3286    flat    0.00    0.40    17        0.27324        0.04319        3.44173        0.20621        1.69218        0.08256        0.80986    4.15393E-01
MACS_J2245.0+2637                                  3287    flat    0.00    0.50    23        0.99363        0.14488        5.29422        0.49218        1.69034        0.11854        0.03396    1.00000E+00
MKW3S                                               900    flat    0.00    0.20    46        0.85661        0.05386        9.15569        0.16336        1.39667        0.03384        0.70237    8.69520E-01
MKW_04                                             3234    flat    0.00    0.03    16        0.09022        0.00329       34.66932        2.55751        1.71165        0.03352        1.76211    1.10934E-02
MKW_08                                             4942    flat    0.00    0.05    19        5.46787        0.98471       26.63514        6.36090        1.13665        0.30423        0.02002    1.00000E+00
MS_0016.9+1609                                      520    flat    0.00    0.50    16        4.26348        0.62924        3.36331        0.88673        1.39841        0.21177        0.38806    8.88163E-01
MS_0116.3-0115                                     4963    flat    0.00    0.10    22        0.70540        0.91670       26.70596        2.35163        0.97558        0.15799        0.22612    9.98291E-01
MS_0440.5+0204                                     4196    flat    0.00    0.30    19        0.51587        0.20089        9.46097        0.69630        1.30149        0.12505        0.42946    9.08659E-01
MS_0451.6-0305                                      902    flat    0.00    0.50    16       18.17196        4.95831        5.05677        5.35803        2.05050        0.87408        0.05681    9.99958E-01
MS_0735.6+7421                                     4197    flat    0.00    0.30    18        0.34458        0.04721        5.20395        0.17368        1.37134        0.04460        3.42525    7.74860E-07
MS_0839.8+2938                                     2224    flat    0.00    0.25    16        0.50339        0.06926        5.89465        0.29782        1.63917        0.10278        0.38907    8.87275E-01
MS_0906.5+1110                                      924    flat    0.00    0.40    29        3.74599        0.49951        5.08624        0.76059        1.66986        0.15506        0.08012    1.00000E+00
MS_1006.0+1202                                      925    flat    0.00    0.50    29        6.90338        0.95862        6.62739        1.48183        1.50924        0.19332        0.40217    9.88080E-01
